code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
002328,新朋股份,2026-04-24,11.2,,PASS,785,301627554.424,超卖缩量B,2.614446,20.805137,10.5621,8.917063,11.106771,22.78481,68.926554,4.1742,0.3559,False
688213,思特威-W,2026-04-24,91.6,,PASS,809,293075941.8103,超卖缩量B,9.972073,25.723857,91.067221,90.815951,91.552708,40.434783,79.153534,3.8381,0.4348,False
688336,三生国健,2026-04-24,77.49,,PASS,822,290024954.6294,超卖缩量B,-7.645017,5.886208,82.807346,74.560442,81.782917,11.022364,37.563238,3.3984,2.3071,False
688180,君实生物-U,2026-04-24,39.8,,PASS,829,287510009.2325,原始B1,-0.480902,13.524071,40.393859,37.790437,40.894375,17.891374,59.31677,3.7971,2.2593,False
688400,凌云光,2026-04-24,46.67,,PASS,852,278899462.178,超卖缩量B,2.733398,29.724913,46.31669,44.547168,47.219062,14.569536,70.161912,3.4123,0.913,False
000720,新能泰山,2026-04-24,4.68,,PASS,864,273806288.3755,回踩黄线B,4.993094,19.937699,5.157206,4.685749,4.998646,5.405405,4.265403,5.1502,3.9014,False
002422,科伦药业,2026-04-24,33.93,,PASS,904,258220224.0396,超卖缩量拐头B,13.865051,51.524352,34.435329,33.522289,34.089375,100.0,49.052632,4.1159,2.1988,False
300347,泰格医药,2026-04-24,56.02,,PASS,921,253885587.4224,超卖缩量B,-0.499484,22.90075,56.69585,56.44028,56.616146,42.677824,63.471778,4.1818,0.1604,False
301362,民爆光电,2026-04-24,141.63,,PASS,934,248046694.69,原始B1,8.628666,25.388672,136.128209,110.754256,142.561875,17.036554,76.64029,7.9125,5.8874,False
688523,航天环宇,2026-04-24,65.84,,PASS,958,242795520.7254,原始B1,46.860739,19.039958,66.197461,62.148545,67.844375,0.790514,51.501912,6.3982,7.0188,False
600867,通化东宝,2026-04-24,9.61,,PASS,969,240272323.2672,超卖缩量B,-3.462505,29.62242,9.816252,9.383244,9.762708,38.77551,59.633027,2.2293,0.523,True
300606,金太阳,2026-04-24,35.24,,PASS,1005,231180571.6897,回踩黄线B,-2.587553,5.648587,37.600166,35.23644,37.321354,16.860465,21.044046,7.7323,4.7568,False
