code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
002261,拓维信息,2026-04-29,34.91,,PASS,31,2394930709.0512,超卖缩量B,1.719066,19.50593,36.78316,35.577995,36.650833,21.889401,26.996805,4.1814,0.3426,False
300442,润泽科技,2026-04-29,90.44,,PASS,37,2211914653.4659,超卖缩量拐头B,2.867739,46.140087,90.43594,84.670327,90.485,100.0,68.739206,7.2954,2.412,False
601179,中国西电,2026-04-29,17.15,,PASS,51,1912659479.5001,回踩白线B,16.507253,39.3108,17.024109,15.916916,17.113958,92.753623,68.529412,3.3929,0.2907,False
300548,长芯博创,2026-04-29,247.5,,PASS,53,1860461584.7293,超卖缩量B,-1.092947,25.574847,236.67777,198.322716,245.322292,51.492063,75.617995,5.1548,0.2187,True
600875,东方电气,2026-04-29,39.96,,PASS,58,1786441971.2618,超卖缩量B,-0.444368,33.794256,40.301318,36.671758,40.347083,78.089888,57.442117,4.1483,1.0622,True
300620,光库科技,2026-04-29,235.25,,PASS,65,1718986215.9362,超卖缩量B,-5.118165,27.487163,234.573487,204.920069,237.999792,33.48281,60.381356,3.6436,1.4453,False
002015,协鑫能科,2026-04-29,18.69,,PASS,66,1668777938.1152,原始B1,7.993701,40.082322,18.576965,16.760168,18.711354,80.645161,58.541667,5.6522,0.9539,False
300757,罗博特科,2026-04-29,488.32,,PASS,83,1523390928.2025,原始B1,-3.386434,24.842883,492.950369,430.608377,500.442708,14.985915,62.505524,3.0228,3.5036,False
300418,昆仑万维,2026-04-29,50.18,,PASS,96,1420301117.2045,超卖缩量B,-9.274296,32.973504,51.443878,51.236898,51.05125,46.195652,48.042705,2.2594,1.1694,True
688629,华丰科技,2026-04-29,127.16,,PASS,122,1200567297.0147,原始B1,2.119972,28.560648,129.268998,117.84909,130.275,19.234275,62.409326,3.6226,1.4645,False
688158,优刻得-W,2026-04-29,45.81,,PASS,139,1117485828.4683,超卖缩量拐头B,-2.287523,34.797087,46.45213,42.311703,46.519167,52.873563,58.583899,6.122,1.9132,False
