code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
002460,赣锋锂业,2026-04-22,82.22,,PASS,41,2101835851.5523,原始B1,8.809748,35.413247,81.098975,75.559308,81.968021,42.424242,73.303965,2.3184,1.3676,False
600989,宝丰能源,2026-04-22,27.77,,PASS,50,1899167576.8559,超卖缩量拐头B,24.901032,56.890298,28.719419,27.073463,28.121979,100.0,32.835821,2.1199,1.8335,True
000792,盐湖股份,2026-04-22,36.73,,PASS,70,1601875071.5634,原始B1,7.629355,23.165983,37.443436,35.683788,37.347917,29.090909,42.494715,2.3071,2.0272,False
603259,药明康德,2026-04-22,99.25,,PASS,76,1554957827.3498,超卖缩量B,-10.694321,27.61168,101.735857,98.744571,100.910625,76.27907,54.961378,1.7122,0.7103,True
600893,航发动力,2026-04-22,48.53,,PASS,153,1035854540.2916,超卖缩量B,10.847469,14.204031,50.080596,49.331247,49.546979,41.295547,48.233216,2.2943,0.3695,False
600602,云赛智联,2026-04-22,23.38,,PASS,193,909506287.3759,超卖缩量拐头B,10.782498,38.550617,23.656305,22.35071,23.617396,76.223776,66.262626,3.3951,1.5639,False
002648,卫星化学,2026-04-22,26.46,,PASS,204,865318554.4619,超卖缩量B,-3.395443,27.044037,27.801372,25.613053,27.289792,74.725275,34.079174,2.7345,0.8617,False
600722,金牛化工,2026-04-22,13.59,,PASS,278,695805559.6108,超卖缩量拐头B,17.830991,41.294987,14.445798,12.913841,14.086979,85.185185,12.164948,2.4775,1.0409,True
601877,正泰电器,2026-04-22,32.61,,PASS,295,663751465.8671,超卖缩量B,4.635616,39.709829,33.212736,32.743728,33.011562,50.632911,38.461538,2.4745,0.4621,True
002532,天山铝业,2026-04-22,18.0,,PASS,335,609716957.7718,超卖缩量B,6.990529,22.940184,18.288062,17.651322,18.388437,21.929825,65.858586,3.5493,2.0142,False
000975,山金国际,2026-04-22,29.29,,PASS,397,523936621.2793,超卖缩量B,11.367428,32.467881,29.58832,29.139627,29.503125,37.777778,66.557912,2.9016,1.7773,False
002150,正泰电源,2026-04-22,30.02,,PASS,510,425100947.0207,超卖缩量B,6.324216,30.239907,31.798271,29.70429,31.111146,100.0,14.971751,3.1703,0.8398,True
002082,万邦德,2026-04-22,28.16,,PASS,569,389825394.6793,超卖缩量B,10.462174,32.359615,29.01904,24.193477,28.717604,51.162791,54.935862,3.3732,1.0043,True
300759,康龙化成,2026-04-22,30.44,,PASS,625,363340243.6365,超卖缩量拐头B,-0.904558,45.171461,29.999313,29.538471,30.201562,75.806451,84.502447,2.0687,1.1968,True
300497,富祥药业,2026-04-22,18.34,,PASS,635,357775173.3523,回踩白线B,16.455426,27.47359,18.467036,17.304749,18.508437,49.494949,60.240964,3.4695,0.4932,False
002440,闰土股份,2026-04-22,11.73,,PASS,650,351891645.6338,超卖缩量拐头B,8.261251,47.470094,11.777054,11.537411,11.713125,88.235294,68.484848,3.2174,1.2079,True
301550,斯菱智驱,2026-04-22,159.37,,PASS,664,346895402.4675,超卖缩量拐头B,14.595866,50.74251,158.461939,153.93977,158.452708,100.0,76.380368,5.1035,1.1103,True
002821,凯莱英,2026-04-22,113.04,,PASS,666,346233092.1146,超卖缩量拐头B,0.277285,35.642991,114.961157,108.106156,113.980312,81.72043,59.650163,3.1273,1.536,True
603288,海天味业,2026-04-22,39.83,,PASS,708,327853714.9984,超卖缩量B,12.973223,27.454138,40.454725,39.026497,40.346146,12.765957,59.628378,3.1982,2.0172,False
301626,苏州天脉,2026-04-22,262.5,,PASS,733,318502203.4286,超卖缩量拐头B,2.713053,40.817246,261.465006,236.370822,262.345208,100.0,70.730891,5.3971,1.414,True
600158,中体产业,2026-04-22,10.85,,PASS,737,317400748.2654,超卖缩量B,-3.700637,27.202738,11.261887,10.678263,11.179167,12.962963,48.878924,3.4323,1.8987,False
688336,三生国健,2026-04-22,83.06,,PASS,821,281207502.6114,超卖缩量B,19.574233,22.561938,82.807183,74.4693,83.708229,45.671642,64.86692,2.4899,0.2522,False
002119,康强电子,2026-04-22,21.76,,PASS,841,274561519.8304,超卖缩量B,8.076158,36.758743,21.547132,21.379298,21.798229,45.070422,61.149425,1.7593,0.092,True
600654,中安科,2026-04-22,4.11,,PASS,901,254311370.3575,原始B1,2.665341,28.996337,4.091701,3.911692,4.168646,48.387097,62.0,5.5556,0.7353,False
002422,科伦药业,2026-04-22,33.86,,PASS,907,253707773.7748,超卖缩量B,9.601499,34.934828,34.560885,33.582961,34.353125,87.654321,47.578947,2.4434,0.9541,True
300257,开山股份,2026-04-22,28.75,,PASS,951,242969898.4062,超卖缩量B,29.363943,19.236865,29.762686,26.563582,29.544896,70.786517,45.336788,5.3474,0.8962,False
002539,云图控股,2026-04-22,14.31,,PASS,1074,213682501.2617,超卖缩量拐头B,12.29791,48.528766,14.422585,14.149314,14.308125,100.0,48.449612,2.626,1.3456,True
300547,川环科技,2026-04-22,37.97,,PASS,1075,213365370.4387,原始B1,4.399807,31.873759,36.970194,35.966294,37.791979,40.625,74.404762,4.2391,1.6576,False
301606,绿联科技,2026-04-22,74.0,,PASS,1115,204107368.2401,超卖缩量B,12.100354,41.592492,73.197247,70.702043,73.680937,54.545455,70.530452,1.772,0.7762,True
688585,上纬新材,2026-04-22,126.5,,PASS,1119,203858012.0477,超卖缩量B,9.005741,39.813133,124.774393,124.527705,126.299167,54.451346,57.403009,1.7575,0.3331,True
600230,沧州大化,2026-04-22,19.07,,PASS,1147,199902395.6883,回踩黄线B,-7.403193,18.063319,19.576173,19.1317,19.424375,10.169492,60.992908,3.6297,2.7041,False
600063,皖维高新,2026-04-22,7.03,,PASS,1173,195289171.0153,超卖缩量B,11.032851,27.400195,7.061004,6.938639,7.050833,83.333333,65.217391,1.4327,0.0,False
300651,金陵体育,2026-04-22,28.39,,PASS,1190,192793766.7185,回踩黄线B,-2.386066,21.953603,29.981239,28.228424,29.833125,15.702479,29.712859,4.9625,2.8405,False
301226,祥明智能,2026-04-22,39.57,,PASS,1257,183443506.8844,超卖缩量拐头B,0.265779,37.44391,41.604578,38.658755,40.650312,63.473054,23.627075,2.0629,1.9583,True
000729,燕京啤酒,2026-04-22,12.81,,PASS,1258,183368748.2117,超卖缩量B,-6.702014,33.700972,13.278695,12.966455,13.050417,100.0,31.603774,1.6653,0.8661,True
300055,万邦达,2026-04-22,11.57,,PASS,1284,179875062.9256,回踩白线B,19.732676,32.58533,11.638227,10.497572,11.638646,100.0,70.809249,3.1718,0.5213,True
600623,华谊集团,2026-04-22,9.79,,PASS,1403,160870475.6032,超卖缩量B,10.299224,29.819575,9.9003,9.704602,9.88875,28.571428,71.875,3.0832,1.5091,False
600527,江南高纤,2026-04-22,2.59,,PASS,1508,147065944.6994,原始B1,8.973789,24.532676,2.614927,2.487906,2.643646,16.666667,68.571428,4.6875,3.7175,False
600320,振华重工,2026-04-22,5.04,,PASS,1593,136220927.239,回踩黄线B,12.078396,28.456028,5.063724,5.051593,5.068646,21.428571,74.418605,2.3952,1.9455,False
301630,同宇新材,2026-04-22,216.74,,PASS,1648,131872677.3906,超卖缩量拐头B,-12.172849,41.476693,211.414038,198.975116,214.61375,100.0,64.616733,2.6173,1.5176,False
688176,亚虹医药-U,2026-04-22,13.34,,PASS,1658,131149970.5856,超卖缩量B,-1.756795,29.449712,13.887692,13.39878,13.661458,62.0,40.703518,2.7629,1.2908,False
002638,勤上股份,2026-04-22,4.48,,PASS,1729,125828415.7601,回踩白线B,41.206397,24.499778,4.414892,3.975288,4.48125,61.538461,72.340425,3.6364,0.2227,False
300143,盈康生命,2026-04-22,11.85,,PASS,1779,121909158.2738,超卖缩量B,6.671307,31.984468,12.307025,12.004251,12.117917,44.117647,14.201183,1.6239,0.5942,True
301509,金凯生科,2026-04-22,43.61,,PASS,1787,121319082.6259,回踩白线B,23.505349,36.610582,43.376921,40.794638,43.705938,94.444444,64.35743,2.9467,0.879,True
300149,睿智医药,2026-04-22,10.96,,PASS,1832,117491905.6741,超卖缩量拐头B,16.197325,39.048879,11.155396,10.888819,11.075417,61.403509,48.70317,3.393,1.3876,False
600398,海澜之家,2026-04-22,6.41,,PASS,1864,114576720.2143,超卖缩量B,-6.335897,10.166681,6.539819,6.389923,6.549167,4.347826,63.0,2.1875,1.9878,False
601952,苏垦农发,2026-04-22,9.93,,PASS,1871,114052299.0014,超卖缩量拐头B,32.445213,68.889524,10.009652,9.888636,9.920417,100.0,27.04918,3.9796,1.3265,True
002100,天康生物,2026-04-22,7.79,,PASS,1907,111166408.3147,超卖缩量B,13.307802,23.507506,7.790248,7.56399,7.860313,36.842105,64.102564,4.5337,0.6378,False
