code,name,date,close,score,grade,active_pool_rank,turnover_n,signal_type,j,rsi,trend_white,yellow,bbi,short_term,long_term,daily_amp,daily_change,doji_up
600105,永鼎股份,2026-05-06,43.68,,PASS,40,2205850927.4697,超卖缩量拐头B,12.679075,43.565553,41.426038,34.7544,42.797812,100.0,72.397721,4.0428,2.9946,True
601868,中国能建,2026-05-06,2.84,,PASS,58,1813868380.5645,超卖缩量B,7.570661,45.100919,2.9025,2.833457,2.865521,83.333332,27.272727,0.7067,0.3534,True
300757,罗博特科,2026-05-06,480.55,,PASS,86,1507462610.1721,超卖缩量B,-0.080217,19.867277,494.915938,434.644503,492.361458,71.569704,55.212835,4.9184,0.3215,False
000070,特发信息,2026-05-06,18.28,,PASS,180,947914642.8488,超卖缩量B,-13.689525,21.877164,19.711548,17.88208,19.312292,19.230769,14.655172,2.967,1.1062,True
300782,卓胜微,2026-05-06,103.2,,PASS,182,944154968.6898,超卖缩量拐头B,-0.16319,51.2214,102.822071,93.244857,102.497813,100.0,66.588442,5.5,3.5937,True
000807,云铝股份,2026-05-06,32.66,,PASS,183,944093532.347,超卖缩量拐头B,14.686704,46.412181,33.769502,32.621646,33.298437,69.127517,20.907298,3.4396,2.7044,True
002413,雷科防务,2026-05-06,13.31,,PASS,192,910243793.6902,回踩黄线B,7.512986,58.70386,13.496598,13.322047,13.294375,100.0,30.508475,3.1202,1.2938,True
300102,乾照光电,2026-05-06,33.62,,PASS,214,846501504.928,超卖缩量拐头B,22.561351,68.98952,32.978579,32.461928,32.836042,100.0,57.733333,4.3966,2.4375,False
002471,中超控股,2026-05-06,8.61,,PASS,245,762317676.2171,超卖缩量拐头B,5.328771,57.717642,8.877514,8.557594,8.697708,100.0,27.044025,1.7606,1.773,True
002487,大金重工,2026-05-06,86.15,,PASS,261,743477203.2973,超卖缩量拐头B,5.703564,54.272221,83.091939,75.281989,84.481146,100.0,82.899263,5.003,2.5595,True
600126,杭钢股份,2026-05-06,9.13,,PASS,264,738774250.6385,回踩黄线B,-7.463144,45.474669,9.485986,9.181961,9.31625,100.0,35.096154,4.0632,4.4622,False
002536,飞龙股份,2026-05-06,36.51,,PASS,280,697372420.9069,超卖缩量拐头B,-6.116744,45.479501,36.191771,33.548123,36.254583,100.0,68.372424,3.7688,1.7559,True
600667,太极实业,2026-05-06,10.16,,PASS,283,688821967.5912,超卖缩量拐头B,49.829326,77.598293,9.796286,9.719294,9.759688,100.0,95.348837,3.5573,5.9437,True
300499,高澜股份,2026-05-06,40.48,,PASS,289,685701280.85,超卖缩量拐头B,13.499768,61.511101,40.463791,37.649411,39.95125,100.0,61.058109,3.7111,5.2796,True
603220,中贝通信,2026-05-06,29.64,,PASS,322,628199761.4238,超卖缩量拐头B,6.112368,50.964748,29.70042,27.754085,29.578125,100.0,53.163265,4.3806,4.8832,True
